Date,District,Market,Fruit,Variety,Grade,CaseType,Min Price,Max Price,Avg Price
24-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
25-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
25-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
26-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
26-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
27-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
27-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
28-12-2017,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
28-12-2017,Shopian,Aglar,Apple,Delicious,B,FC,400,500,450
29-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
29-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
30-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
30-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
31-12-2017,Shopian,Aglar,Apple,Delicious,A,,,,
31-12-2017,Shopian,Aglar,Apple,Delicious,B,,,,
15-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
15-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
16-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
16-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,600,700,650
17-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,400,500,450
17-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
18-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
18-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
19-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
19-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
20-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
20-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
21-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,450,650,550
21-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
22-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
22-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
23-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
23-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
24-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
24-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
25-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,450,650,550
25-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
26-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,450,550,500
26-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
27-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,450,550,500
27-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,350,450,400
28-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,500,600,550
28-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,500,450
29-09-2018,Shopian,Aglar,Apple,Delicious,A,FC,500,600,550
29-09-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,500,450
30-09-2018,Shopian,Aglar,Apple,Delicious,A,,,,
30-09-2018,Shopian,Aglar,Apple,Delicious,B,,,,
01-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
01-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
02-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
02-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
03-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
03-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
04-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
04-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
05-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
05-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
06-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
06-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
07-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
07-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
08-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
08-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
09-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,650,750,700
09-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
10-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,625,725,675
10-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
11-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,625,725,675
11-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
12-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
12-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
13-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,625,725,675
13-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
14-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
14-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
15-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
15-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
16-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
16-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
17-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,625,725,675
17-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,425,625,525
18-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
18-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
19-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
19-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
20-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
20-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
21-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
21-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
22-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
22-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
23-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
23-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
24-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
24-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
25-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
25-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
26-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
26-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
27-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
27-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
28-10-2018,Shopian,Aglar,Apple,Delicious,A,,,,
28-10-2018,Shopian,Aglar,Apple,Delicious,B,,,,
29-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
29-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
30-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
30-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
31-10-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
31-10-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
01-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
01-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,300,500,400
02-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
02-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
03-11-2018,Shopian,Aglar,Apple,Delicious,A,FC,600,700,650
03-11-2018,Shopian,Aglar,Apple,Delicious,B,FC,400,600,500
04-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
04-11-2018,Shopian,Aglar,Apple,Delicious,B,,,,
05-11-2018,Shopian,Aglar,Apple,Delicious,A,,,,
