Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
6/30/2019,Srinagar,Parimpore,Cherry,Large,Cherry,170,200,185
6/30/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,150,190,170
6/30/2019,Srinagar,Parimpore,Cherry,Small,Cherry,100,120,110
7/1/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/1/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/1/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/2/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/2/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/2/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/3/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/3/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/3/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/4/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/4/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/4/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/5/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/5/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/5/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/6/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/6/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/6/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/7/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/7/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/7/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/8/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/8/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/8/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/9/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/9/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/9/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/10/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/10/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/10/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/11/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/11/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/11/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/12/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/12/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/12/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/13/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/13/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/13/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/14/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/14/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/14/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/15/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/15/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/15/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/16/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/16/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/16/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/17/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/17/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/17/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/18/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/18/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/18/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/19/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/19/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/19/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/20/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/20/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/20/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/21/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/21/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/21/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/22/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/22/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/22/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/23/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
7/23/2019,Srinagar,Parimpore,Cherry,Medium,Cherry,0,0,0
7/23/2019,Srinagar,Parimpore,Cherry,Small,Cherry,0,0,0
7/24/2019,Srinagar,Parimpore,Cherry,Large,Cherry,0,0,0
