Date,District,Market,Fruit,Grade,Variety,Min Price,Max Price,Avg Price
6/3/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/4/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/4/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/4/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/5/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/5/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/5/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/6/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/6/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/6/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/7/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/7/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/7/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/8/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,120,100
6/8/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,100,75
6/8/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/9/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/9/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/9/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/10/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/10/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/10/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/11/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/11/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/11/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/12/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/12/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/12/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/13/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/13/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/13/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/14/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/14/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/14/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,80,180,130
6/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/15/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,60,45
6/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,150,120
6/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,120,90
6/16/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,80,60
6/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,150,120
6/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,120,90
6/17/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,80,60
6/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,150,120
6/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,120,90
6/18/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,80,60
6/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,150,120
6/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,60,120,90
6/19/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,40,80,60
6/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,140,115
6/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/20/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,65
6/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,140,115
6/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/21/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,65
6/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,90,140,115
6/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,150,100
6/22/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,65
6/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/23/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/24/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/25/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/26/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/27/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/28/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
6/29/2017,Jammu,Narwal Jammu (F&V),Cherry,Small,Cherry,30,80,55
6/30/2017,Jammu,Narwal Jammu (F&V),Cherry,Large,Cherry,100,200,150
6/30/2017,Jammu,Narwal Jammu (F&V),Cherry,Medium,Cherry,50,190,120
