Date,District,Market,Fruit,Variety,Grade,Min Price,Max Price,Avg Price
6/27/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/28/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/29/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
6/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Super,50,60,55
6/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Special,35,40,37.5
6/30/2015,Azadpur,Azadpur,Cherry,Makhmali,Fancy,25,30,27.5
5/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/20/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/21/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/22/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/23/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/24/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/25/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/26/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,70,65
5/27/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,90,85
5/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,50,60,55
5/28/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,30,40,35
5/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,110,100
5/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/29/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,90,110,100
5/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,60,80,70
5/30/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,50,45
5/31/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,100,90
5/31/2016,Azadpur,Azadpur,Cherry,Makhmali,Special,50,70,60
5/31/2016,Azadpur,Azadpur,Cherry,Makhmali,Fancy,40,45,43
6/1/2016,Azadpur,Azadpur,Cherry,Makhmali,Super,80,110,95
